date,groupe_age,campagne,DOSES(J07E1),ACTE(VGP),annee,mois,jour_semaine,semaine_annee,DOSES(J07E1)_campagne,ACTE(VGP)_campagne,UNIVERS,PHARMACIES,POURCENTAGE
2021-12-06,moins de 65 ans,2021-2022,29396,12567,2021,12,0,49,,,,,
2021-12-07,65 ans et plus,2021-2022,53490,31680,2021,12,1,49,,,,,
2021-12-07,moins de 65 ans,2021-2022,28612,12364,2021,12,1,49,,,,,
2021-12-08,65 ans et plus,2021-2022,42804,24589,2021,12,2,49,,,,,
2021-12-08,moins de 65 ans,2021-2022,24950,10433,2021,12,2,49,,,,,
2021-12-09,65 ans et plus,2021-2022,41890,24579,2021,12,3,49,,,,,
2021-12-09,moins de 65 ans,2021-2022,23967,10329,2021,12,3,49,,,,,
2021-12-10,65 ans et plus,2021-2022,36819,21662,2021,12,4,49,,,,,
2021-12-10,moins de 65 ans,2021-2022,24127,10506,2021,12,4,49,,,,,
2021-12-11,65 ans et plus,2021-2022,16385,7552,2021,12,5,49,,,,,
2021-12-11,moins de 65 ans,2021-2022,15093,6130,2021,12,5,49,,,,,
2021-12-12,65 ans et plus,2021-2022,405,208,2021,12,6,49,,,,,
2021-12-12,moins de 65 ans,2021-2022,436,240,2021,12,6,49,,,,,
2021-12-13,65 ans et plus,2021-2022,33307,20092,2021,12,0,50,,,,,
2021-12-13,moins de 65 ans,2021-2022,19549,8671,2021,12,0,50,,,,,
2021-12-14,65 ans et plus,2021-2022,34808,21249,2021,12,1,50,,,,,
2021-12-14,moins de 65 ans,2021-2022,18843,8565,2021,12,1,50,,,,,
2021-12-15,65 ans et plus,2021-2022,29021,17452,2021,12,2,50,,,,,
2021-12-15,moins de 65 ans,2021-2022,17122,7465,2021,12,2,50,,,,,
2021-12-16,65 ans et plus,2021-2022,29752,17971,2021,12,3,50,,,,,
2021-12-16,moins de 65 ans,2021-2022,17057,7764,2021,12,3,50,,,,,
2021-12-17,65 ans et plus,2021-2022,25799,16021,2021,12,4,50,,,,,
2021-12-17,moins de 65 ans,2021-2022,16882,8071,2021,12,4,50,,,,,
2021-12-18,65 ans et plus,2021-2022,11240,5682,2021,12,5,50,,,,,
2021-12-18,moins de 65 ans,2021-2022,10627,4705,2021,12,5,50,,,,,
2021-12-19,65 ans et plus,2021-2022,445,213,2021,12,6,50,,,,,
2021-12-19,moins de 65 ans,2021-2022,352,229,2021,12,6,50,,,,,
2021-12-20,65 ans et plus,2021-2022,19224,11934,2021,12,0,51,,,,,
2021-12-20,moins de 65 ans,2021-2022,13995,6615,2021,12,0,51,,,,,
2021-12-21,65 ans et plus,2021-2022,18337,11360,2021,12,1,51,,,,,
2021-12-21,moins de 65 ans,2021-2022,12649,5959,2021,12,1,51,,,,,
2021-12-22,65 ans et plus,2021-2022,13733,8082,2021,12,2,51,,,,,
2021-12-22,moins de 65 ans,2021-2022,10752,4898,2021,12,2,51,,,,,
2021-12-23,65 ans et plus,2021-2022,11948,6755,2021,12,3,51,,,,,
2021-12-23,moins de 65 ans,2021-2022,9887,4028,2021,12,3,51,,,,,
2021-12-24,65 ans et plus,2021-2022,6514,2660,2021,12,4,51,,,,,
2021-12-24,moins de 65 ans,2021-2022,5834,1968,2021,12,4,51,,,,,
2021-12-25,65 ans et plus,2021-2022,152,38,2021,12,5,51,,,,,
2021-12-25,moins de 65 ans,2021-2022,62,26,2021,12,5,51,,,,,
2021-12-26,65 ans et plus,2021-2022,399,171,2021,12,6,51,,,,,
2021-12-26,moins de 65 ans,2021-2022,146,87,2021,12,6,51,,,,,
2021-12-27,65 ans et plus,2021-2022,11137,6779,2021,12,0,52,,,,,
2021-12-27,moins de 65 ans,2021-2022,8889,4229,2021,12,0,52,,,,,
2021-12-28,65 ans et plus,2021-2022,11737,7259,2021,12,1,52,,,,,
2021-12-28,moins de 65 ans,2021-2022,8504,4187,2021,12,1,52,,,,,
2021-12-29,65 ans et plus,2021-2022,10042,5834,2021,12,2,52,,,,,
2021-12-29,moins de 65 ans,2021-2022,7489,3566,2021,12,2,52,,,,,
2021-12-30,65 ans et plus,2021-2022,9370,5312,2021,12,3,52,,,,,
2021-12-30,moins de 65 ans,2021-2022,7215,3348,2021,12,3,52,,,,,
2021-12-31,65 ans et plus,2021-2022,4985,2433,2021,12,4,52,,,,,
2021-12-31,moins de 65 ans,2021-2022,4340,1725,2021,12,4,52,,,,,
2022-01-01,65 ans et plus,2021-2022,186,161,2022,1,5,52,,,,,
2022-01-01,moins de 65 ans,2021-2022,120,42,2022,1,5,52,,,,,
2022-01-02,65 ans et plus,2021-2022,83,162,2022,1,6,52,,,,,
2022-01-02,moins de 65 ans,2021-2022,103,53,2022,1,6,52,,,,,
2022-01-03,65 ans et plus,2021-2022,8126,4488,2022,1,0,1,,,,,
2022-01-03,moins de 65 ans,2021-2022,5750,2358,2022,1,0,1,,,,,
2022-01-04,65 ans et plus,2021-2022,9693,5820,2022,1,1,1,,,,,
